REVIEW_KEY,REVIEW_TEXT,AVERAGE_RATING,RATING_BAND,SEAT_TYPE,TYPE_OF_TRAVELLER,NATIONALITY,DOMINANT_TOPIC,TOPIC_LABEL,TOPIC_CONFIDENCE,SENTIMENT_SCORE,SENTIMENT_LABEL,ABSA_Seat_Comfort_score,ABSA_Cabin_Staff_score,ABSA_Food_score,ABSA_WiFi_score,ABSA_Entertainment_score,ABSA_Ground_Service_score,ABSA_Delays_score,ABSA_Value_score
0be42b62f4cffba1d1465e29f98a21f5,"The first flight of my year went well with Delta Connection. All staff from the check-in counter to stewardesses in-flight were friendly, helpful and accommodating. This regional flight offered comfortable Comfort Plus seats and complimentary snacks like granola bars, cookies, and chips coupled with a selection of beverages. Despite being delayed, the plane made it on time and I successfully made my connecting flight. And the view of Seattle from above was spectacular! If I had to be critical, the SkyPriority experience could have been a bit better as there weren’t enough counters for the volume of flights at the time and the security line was too long.",4.33,good,Premium Economy,Family Leisure,South Korea,3,Flight Delays & Scheduling,0.9805349286674983,0.9763,Positive,0.255,0.494,0.44,,,,,
0c6e42257d2a045e858315003d40b7b3,"I’m at Maui airport right now and my flight from delta got canceled last minute, last night “due to weather” but many airlines still departing. I tried to find a delta employee or customer service in the airport and for my surprise no one could be found. I called delta customer service and the only option was to flight 3 days later, no help finding us a hotel, no vouchers for food or transportation, nothing! I purchased last minute Southwest and leaving here today. When I called customer service and asked details about getting refunded their reply was very vague and they were not sure of anything! I only flight delta and sky miles member for years. Terrible customer service. Don’t ever flight to Hawaii with delta. I’m done being delta loyal member.",2.14,medium,Economy Class,Family Leisure,United States,3,Flight Delays & Scheduling,0.5452327874608722,-0.8721,Negative,,,,,,,0.0,
2b2554f40e8617dbe373bb5103022ee4,"I booked a flight, rental car and hotel with Delta. Their hotel was the “airport” hotel but there was no information about the hotel on the app and when I finally found it, it was an hour away! Terrible. And it was a half hour wait to reach customer service",2.0,medium,Economy Class,Business,United States,5,WiFi & Entertainment,0.9513593875980713,-0.7959,Negative,,,,,,,0.0,
4238f2b19a845f2235b950299d833e81,"I’m at Maui airport right now and my flight from delta got canceled last minute, last night “due to weather” but many airlines still departing. I tried to find a delta employee or customer service in the airport and for my surprise no one could be found. I called delta customer service and the only option was to flight 3 days later, no help finding us a hotel, no vouchers for food or transportation, nothing! I purchased last minute Southwest and leaving here today. When I called customer service and asked details about getting refunded their reply was very vague and they were not sure of anything! I only flight delta and sky miles member for years. Terrible customer service. Don’t ever flight to Hawaii with delta. I’m done being delta loyal member.",2.14,medium,Economy Class,Family Leisure,United States,3,Flight Delays & Scheduling,0.5452327874608722,-0.8721,Negative,,,,,,,0.0,
5023ccaa3433b4d7655c431359b991d5,"I purchased an international itinerary directly through Delta Air Lines and paid to select seats on all flight segments, including an 8-hour long-haul flight operated by Delta’s partner airline, Korean Air. During booking, Delta’s system allowed seat selection on all three legs and confirmed those selections before payment. I would not have purchased this ticket without that confirmation. After payment, my email confirmation showed the seat assignment for the final leg as missing. Delta’s system again allowed me to return to the reservation and select seats for that segment. Despite this, Delta and Korean Air later directed me back and forth, ultimately stating that seat selection on the Korean Air flight was “never permitted,” even though Delta’s own system accepted payment and confirmed the seats. The result was a paid service that was confirmed and then revoked, with no resolution or accountability. This was not a minor inconvenience. Delta sold, processed payment for, and confirmed a seat selection that it later refused to honor, instead deflecting responsibility to its partner airline. Delta continues to promote seamless partner airline integration, yet provides no protection for customers when those systems fail. The burden was placed entirely on the customer to navigate conflicting airline policies after the purchase was complete. Delta should cearly disclose when seat selection on partner airlines is not guaranteed. Stop accepting payment for services that cannot be honored.  Take responsibility when its booking system misrepresents availability. Based on this experience, I cannot recommend Delta for international itineraries involving partner airlines.",1.0,bad,Economy Class,Family Leisure,United States,2,Customer Service & Staff,0.99263682253544,-0.9075,Negative,0.0,,,,,,,
59c10cfc8abdc5ecefdabcffd4ff13a2,I would like to give a special shout out and thank Michael of delta airlines counter staff at MCO airport for being so helpful and friendly. It means a lot to get assistance when traveling internationally and there are unfamiliar procedures and routes,4.25,good,Economy Class,Solo Leisure,Singapore,3,Flight Delays & Scheduling,0.5088315536693889,0.9297,Positive,,0.422,,,,,,
05d497f12132777f5f50751372d200aa,"I had a heartbreaking day on my departure day. So when I was checking in at Delta, I was crying…( actually more like bawling). Well I wasn't at first, but when Ms Carol asked me how was my day, tears just fell and couldn’t stop it…felt heavy…so I really appreciate that question a lot, she gave me some small talk, which made me open up a bit and that’s when I started crying. She didn’t have to continue comforting me, but she did and I felt it in my heart. Ms Ammi saw me crying and offered me some juice and orange, and a Chocolate cupcake and also comforted me despite how busy they were. They are the best strangers I’ve encountered at that moment too, for the longest time, and that made me feel way lighter. So I think it’s not about the place, or the airline, it’s the people that works within - a truly unforgettable experience even though that was a month ago. I am talking about the Ground staff of Delta Airlines in Baltimore Airport! They did their jobs with passion and understanding, and I salute them all…",3.29,medium,Economy Class,Solo Leisure,Philippines,3,Flight Delays & Scheduling,0.9858640034486071,0.9687,Positive,,,,,,-0.477,,
0a9033a294183094f5ae483a82802e00,It was an easy online check in. Due to other company flight delays I was short on time to drop my bag in. When I arrived it was too late for me to print my bag tag. Ricky at LAX directed me to an operator who printed my tag and checked my bag in. Flight was also great. Service when needed but nice and quiet during the night to sleep. I recommend Delta Air Lines.,4.5,good,Economy Class,Solo Leisure,Australia,3,Flight Delays & Scheduling,0.44880953591178824,0.872,Positive,,,,,,,0.0,
158dd8ca34d2c963897f23b8e2d63855,"Worst airline experience ever. Had an international flight with a layover at JFK. While on the international flight, received notification that the connecting flight was canceled and rebooked for the following morning (16 hours later). After 2 phone calls and 1 visit to counter, received a hotel and a ride to and from hotel but still had to wait until next morning for flight. Arrived at airport at 3:45am for flight. Checked bags, had a boarding pass with assigned seat for the 6:25am flight out. At 5:12am, received an email stating that the confirmation was canceled and that Delta did not have us on a flight and to contact service for rebooking. So basically they removed us from the flight after assigning a seat. Another trip to the counter to be told they can put us on standby for a 9:50am flight. Then have to go to customer service to locate baggage once we arrive at final destination. So it’s a prayer that our luggage even arrives at our final destination at this point. Sit and wait an additional 3 hours at the airport for a standby flight now. We were Delta Comfort+ tickets but now standby and will be sitting in main cabin without any compensation. Will NOT be flying with Delta again. Their agents had no solutions and no compensation provided for any of the changes, inconveniences, time lost, downgrades of seats, etc. Delta is not as good as Spirit or JetBlue at this point and don’t give a damn about their customers.",2.71,medium,Premium Economy,Family Leisure,United States,5,WiFi & Entertainment,0.42805431648889775,-0.8869,Negative,,,,,,,0.0,
23b41aae39328633001c3bc015a30a50,"Delta requires a mileage program to use wifi. Delta's account recovery gives me a mileage number for my identity, but then the login page doesn't exist. Trying to register a new account directly me back to the old number. To get out of this circle, I tried to contact support. There is only messaging support. To get help with a login problem, messaging support makes you log in. Which of course I can't. Delta has made their system perfectly incapable of recovering from a problem, and tied key features like wifi to that system. Not a good experience for a traveller who needs to do work.",4.0,good,Economy Class,Solo Leisure,United States,0,Luggage & Baggage,0.5209334047596044,0.905,Positive,,,,0.0,,,,
